                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49779,                0.33818,                0.83736,                0.63471,                0.47443,                 0.5298,                0.34808,                 1.0185,                0.77839,                 1.0472,             0.00051372,             0.00051372,             0.00051372
                     36,                0.48886,                0.33061,                0.83665,                0.63088,                0.48132,                0.53273,                 0.3499,                 1.0104,                0.77417,                 1.0397,             0.00050783,             0.00050783,             0.00050783
                     37,                 0.4896,                0.32907,                0.83341,                0.65915,                0.47483,                 0.5383,                 0.3548,                0.99826,                0.76664,                 1.0378,             0.00050194,             0.00050194,             0.00050194
                     38,                0.47684,                0.32433,                0.83184,                0.62993,                0.48682,                0.53797,                0.35547,                 1.0036,                0.76912,                  1.032,             0.00049605,             0.00049605,             0.00049605
                     39,                0.48569,                0.32467,                0.82945,                0.63036,                0.49152,                0.53953,                0.35398,                 1.0129,                0.77112,                 1.0452,             0.00049016,             0.00049016,             0.00049016
                     40,                0.47342,                0.31905,                0.83075,                0.64445,                0.48021,                0.53819,                0.35622,                 1.0067,                0.77441,                  1.039,             0.00048427,             0.00048427,             0.00048427
                     41,                 0.4769,                0.32226,                0.83285,                 0.6475,                0.48445,                 0.5428,                0.35754,                 1.0076,                0.76034,                 1.0347,             0.00047838,             0.00047838,             0.00047838
                     42,                0.47103,                0.31559,                0.83266,                0.61761,                0.47077,                0.51751,                0.34214,                 1.0163,                0.79996,                 1.0444,             0.00047249,             0.00047249,             0.00047249
                     43,                0.46997,                0.31485,                0.83151,                0.63299,                0.48953,                0.53668,                0.35641,                 1.0031,                0.77874,                 1.0442,              0.0004666,              0.0004666,              0.0004666
                     44,                0.45977,                0.31322,                0.82894,                0.65132,                0.48793,                0.54228,                0.35859,                0.99691,                0.75063,                 1.0337,             0.00046071,             0.00046071,             0.00046071
                     45,                0.46704,                0.31364,                0.83374,                0.64315,                0.48223,                0.53366,                0.35633,                0.99246,                0.80354,                 1.0356,             0.00045482,             0.00045482,             0.00045482
                     46,                0.45641,                0.30708,                0.82643,                0.63732,                0.48788,                0.53573,                0.35473,                 1.0005,                0.77148,                 1.0406,             0.00044893,             0.00044893,             0.00044893
                     47,                0.45941,                0.30762,                0.82764,                0.64542,                0.49169,                0.53856,                0.35716,                 1.0015,                0.76979,                 1.0375,             0.00044304,             0.00044304,             0.00044304
